user,LOGNp,CMSGp,RMSGp,SMSGp,UPERp,CACMp,DMSGp
ele,1,1,1,1,0,0,1
abbie,1,1,1,1,0,0,1
1,1,1,1,1,0,0,1
poo,1,1,1,1,0,0,1
apt,1,1,1,1,0,0,1
joe,1,1,1,1,0,0,1
lo,1,1,1,1,0,0,1
tt,1,1,1,1,0,0,1
lkj,1,1,1,1,0,0,1
qui,1,1,1,1,0,0,1
y,1,1,1,1,0,0,1
n,1,1,1,1,0,0,1
u,1,1,1,1,0,0,1
p,1,1,1,1,0,0,1
ppppp,1,1,1,1,0,0,1
laskdjf,1,1,1,1,0,0,1
polly,1,1,1,1,0,0,1
abigail,1,1,1,1,0,0,1
jo,1,1,1,1,0,0,1
ha,1,1,1,1,0,0,1
hi,1,1,1,1,0,0,1
ab,1,1,1,1,0,0,1
kk,1,1,1,1,0,0,1
jj,1,1,1,1,0,0,1
oliver,1,1,1,1,0,0,1
a,1,1,1,1,0,0,1
aa,1,1,1,1,0,0,1
s,1,1,1,1,0,0,1
dude,1,1,1,1,0,0,1
